693	Abulug National Rural and Vocational High School	545
1825	Abuyod NHS	1677
6584	Alamada NHS	6337
6587	Alibayon HS	6340
13599	Alunan Elem. School	976
38543	AMABIL ELEMENTARY SCHOOL	6340
1847	Ananias C. Hernandez NHS (Arumahan NHS)	1698
38552	Anapolon ES	6353
38555	Anonang ES	6331
19377	Antipuluan Elementary School	2465
38559	Anuling ES	6353
38575	B. Bernardez ES	6371
16673	Bacao ES	1938
29165	Bagacay Elementary School	4658
16692	Bagong Pag-Asa ES (San Juan B Floodway ES)	1703
6602	Bagumbayan NHS	6340
29210	Balagtas Elementary School	4955
38612	Balindong PS	6367
32738	Balongating ES	5211
38634	Banayal ES	6363
38643	Banisilan CES	6367
16805	Banlic ES	1775
6617	Bannawag HS	6349
29313	Barugo I Central School	4697
6620	Basak NHS	6340
34944	Baylao Elementary School	5749
1905	Bayorbor NHS	1752
1906	Bayugo NHS	1717
1916	Bilogo NHS	1763
38688	Binaton Elementary School	6353
38691	Binoongan ES	6353
6626	Binoongan HS	6353
32841	Bliss ES	5213
1924	Bolbok NHS	1771
13958	Boton ES	1012
38717	Buay-Buay ES	6367
29482	Buaya Elementary School	4658
16927	Bubuyan ES	1775
48132	Buenavista Central School	9160
19619	Buenavista ES	2512
7136	Buenavista NHS	6873
13976	Buga ES	1231
29526	Bulak Elementary School	4955
38733	Buliok Elementary School	6424
1946	Bunggo National High School	1775
1947	Buntog National High School	1775
1949	Burgos National High School	1796
24827	Cabalagnan ES	3635
38752	Cabpangi ES	6371
764	Cadaloria High School	569
21796	Cagliliog ES	2869
19694	Caguisan Annex Elementary School	2480
4933	Cahigan National High School	4745
17049	Calamba Central School	1775
24909	Calaya ES	3635
29832	Cambadbad Elementary School	4955
4316	Cambuyo HS	4131
29909	Candelaria Elementary School	4955
29962	Cansoso  Elementary School	4955
38768	Capayangan ES	6367
38769	Capayuran ES	6616
30002	Capili-an Elementary School	4658
14203	Casa-Tondo Elementary School	1067
6646	CCNHS Annex - Bubong Site	8682
38779	Cebomailo ES	6340
38780	Cebomailo Primary School Annex	6340
